ID,Name,Core Type,Description,Stat/Effect Target,Operation,Value,Rarity,Weight,Recommended Monster Types,Notes
T-050,Researcher,EventStacksTitleSO,Gains stacking bonus when triggering events. Value: 3.,ATK,Per Stack,3,Common,72,"Clash, Corrupt","Fits Clash, Corrupt."
T-051,Broker,EventStacksTitleSO,Gains stacking bonus when triggering events. Value: 4.,ATK,Per Stack,4,Uncommon,55,"Fire, Corrupt","Fits Fire, Corrupt."
T-052,Architect,EventStacksTitleSO,Gains stacking bonus when triggering events. Value: 5.,ATK,Per Stack,5,Rare,49,"Corrupt, Clash","Fits Corrupt, Clash."
T-053,Electrician,EventStacksTitleSO,Gains stacking bonus when triggering events. Value: 6.,ATK,Per Stack,6,Epic,19,"Umbral, Fire","Fits Umbral, Fire."
T-054,Manager,EventStacksTitleSO,Gains stacking bonus when triggering events. Value: 7.,ATK,Per Stack,7,Legendary,10,"Corrupt, Clash","Fits Corrupt, Clash."
T-055,Mechanic,TurnBoosterTitleSO,Increases stat by % each turn. Value: 2.,ATK,Per Turn,2,Common,72,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-056,Biologist,TurnBoosterTitleSO,Increases stat by % each turn. Value: 3.,ATK,Per Turn,3,Uncommon,55,"Clash, Wyrm","Fits Clash, Wyrm."
T-057,Driver,TurnBoosterTitleSO,Increases stat by % each turn. Value: 4.,ATK,Per Turn,4,Rare,49,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-058,Auditor,TurnBoosterTitleSO,Increases stat by % each turn. Value: 5.,ATK,Per Turn,5,Epic,19,"Clash, Umbral","Fits Clash, Umbral."
T-059,Advisor,TurnBoosterTitleSO,Increases stat by % each turn. Value: 6.,ATK,Per Turn,6,Legendary,10,"Clash, Umbral","Fits Clash, Umbral."
T-060,Plumber,TypeResistTitleSO,Reduces damage from specific monster types. Value: 0.9.,Damage,Multiply,0.9,Common,72,"Rock, Ground","Fits Rock, Ground."
T-061,Scientist,TypeResistTitleSO,Reduces damage from specific monster types. Value: 0.85.,Damage,Multiply,0.85,Uncommon,55,"Rock, Alloy","Fits Rock, Alloy."
T-062,Welder,TypeResistTitleSO,Reduces damage from specific monster types. Value: 0.8.,Damage,Multiply,0.8,Rare,49,"Alloy, Water","Fits Alloy, Water."
T-063,Contractor,TypeResistTitleSO,Reduces damage from specific monster types. Value: 0.75.,Damage,Multiply,0.75,Epic,19,"Water, Grass","Fits Water, Grass."
T-064,Paramedic,TypeResistTitleSO,Reduces damage from specific monster types. Value: 0.7.,Damage,Multiply,0.7,Legendary,10,"Water, Rock","Fits Water, Rock."
T-065,Meteorologist,ConditionalJobRateBoosterTitleSO,Increases job production rate. Value: 1.1.,Job Rate,Multiply,1.1,Common,72,"Bug, Grass","Fits Bug, Grass."
T-066,Technician,ConditionalJobRateBoosterTitleSO,Increases job production rate. Value: 1.15.,Job Rate,Multiply,1.15,Uncommon,55,"Bug, Alloy","Fits Bug, Alloy."
T-067,Engineer,ConditionalJobRateBoosterTitleSO,Increases job production rate. Value: 1.2.,Job Rate,Multiply,1.2,Rare,49,"Alloy, Oracle","Fits Alloy, Oracle."
T-068,Detective,ConditionalJobRateBoosterTitleSO,Increases job production rate. Value: 1.25.,Job Rate,Multiply,1.25,Epic,19,"Alloy, Grass","Fits Alloy, Grass."
T-069,Banker,ConditionalJobRateBoosterTitleSO,Increases job production rate. Value: 1.3.,Job Rate,Multiply,1.3,Legendary,10,"Oracle, Grass","Fits Oracle, Grass."
T-070,Fabricator,JobAuraTitleSO,Boosts allies' job rate. Value: 1.05.,Job Rate (Allies),Multiply,1.05,Common,72,"Alloy, Grass","Fits Alloy, Grass."
T-071,Decorator,JobAuraTitleSO,Boosts allies' job rate. Value: 1.1.,Job Rate (Allies),Multiply,1.1,Uncommon,55,"Bug, Oracle","Fits Bug, Oracle."
T-072,Trainer,JobAuraTitleSO,Boosts allies' job rate. Value: 1.15.,Job Rate (Allies),Multiply,1.15,Rare,49,"Alloy, Grass","Fits Alloy, Grass."
T-073,Operator,JobAuraTitleSO,Boosts allies' job rate. Value: 1.2.,Job Rate (Allies),Multiply,1.2,Epic,19,"Bug, Grass","Fits Bug, Grass."
T-074,Architect,JobAuraTitleSO,Boosts allies' job rate. Value: 1.25.,Job Rate (Allies),Multiply,1.25,Legendary,10,"Grass, Bug","Fits Grass, Bug."
T-075,Chemist,JobCapacityBoosterTitleSO,Adds worker slots to job site. Value: 1.,Capacity,Add,1,Common,72,"Water, Grass","Fits Water, Grass."
T-076,Analyst,JobCapacityBoosterTitleSO,Adds worker slots to job site. Value: 1.,Capacity,Add,1,Uncommon,55,"Rock, Water","Fits Rock, Water."
T-077,Supervisor,JobCapacityBoosterTitleSO,Adds worker slots to job site. Value: 2.,Capacity,Add,2,Rare,49,"Grass, Rock","Fits Grass, Rock."
T-078,Technologist,JobCapacityBoosterTitleSO,Adds worker slots to job site. Value: 2.,Capacity,Add,2,Epic,19,"Alloy, Grass","Fits Alloy, Grass."
T-079,Librarian,JobCapacityBoosterTitleSO,Adds worker slots to job site. Value: 3.,Capacity,Add,3,Legendary,10,"Alloy, Grass","Fits Alloy, Grass."
T-080,Supervisor,JobFatigueBoosterTitleSO,Slows fatigue gain while working. Value: 0.95.,Fatigue Rate,Multiply,0.95,Common,72,"Oracle, Grass","Fits Oracle, Grass."
T-081,Firefighter,JobFatigueBoosterTitleSO,Slows fatigue gain while working. Value: 0.9.,Fatigue Rate,Multiply,0.9,Uncommon,55,"Alloy, Oracle","Fits Alloy, Oracle."
T-082,Biochemist,JobFatigueBoosterTitleSO,Slows fatigue gain while working. Value: 0.85.,Fatigue Rate,Multiply,0.85,Rare,49,"Grass, Bug","Fits Grass, Bug."
T-083,Planner,JobFatigueBoosterTitleSO,Slows fatigue gain while working. Value: 0.8.,Fatigue Rate,Multiply,0.8,Epic,19,"Oracle, Bug","Fits Oracle, Bug."
T-084,Machinist,JobFatigueBoosterTitleSO,Slows fatigue gain while working. Value: 0.75.,Fatigue Rate,Multiply,0.75,Legendary,10,"Grass, Bug","Fits Grass, Bug."
T-085,Planner,CoinBonusOnVictoryTitleSO,Increases coins after victory. Value: 1.1.,Coins,Multiply,1.1,Common,72,"Oracle, Bug","Fits Oracle, Bug."
T-086,Manager,CoinBonusOnVictoryTitleSO,Increases coins after victory. Value: 1.15.,Coins,Multiply,1.15,Uncommon,55,"Bug, Alloy","Fits Bug, Alloy."
T-087,Carpenter,CoinBonusOnVictoryTitleSO,Increases coins after victory. Value: 1.2.,Coins,Multiply,1.2,Rare,49,"Bug, Grass","Fits Bug, Grass."
T-088,Nurse,CoinBonusOnVictoryTitleSO,Increases coins after victory. Value: 1.25.,Coins,Multiply,1.25,Epic,19,"Alloy, Oracle","Fits Alloy, Oracle."
T-089,Consultant,CoinBonusOnVictoryTitleSO,Increases coins after victory. Value: 1.3.,Coins,Multiply,1.3,Legendary,10,"Oracle, Alloy","Fits Oracle, Alloy."
T-090,Teacher,GrowthCoreBonusOnVictoryTitleSO,Increases growth cores gained. Value: 1.1.,Growth Cores,Multiply,1.1,Common,72,"Oracle, Alloy","Fits Oracle, Alloy."
T-091,Scientist,GrowthCoreBonusOnVictoryTitleSO,Increases growth cores gained. Value: 1.15.,Growth Cores,Multiply,1.15,Uncommon,55,"Bug, Grass","Fits Bug, Grass."
T-092,Inspector,GrowthCoreBonusOnVictoryTitleSO,Increases growth cores gained. Value: 1.2.,Growth Cores,Multiply,1.2,Rare,49,"Bug, Alloy","Fits Bug, Alloy."
T-093,Farmer,GrowthCoreBonusOnVictoryTitleSO,Increases growth cores gained. Value: 1.25.,Growth Cores,Multiply,1.25,Epic,19,"Oracle, Alloy","Fits Oracle, Alloy."
T-094,Foreman,GrowthCoreBonusOnVictoryTitleSO,Increases growth cores gained. Value: 1.3.,Growth Cores,Multiply,1.3,Legendary,10,"Bug, Oracle","Fits Bug, Oracle."
T-115,Carpenter,StatBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,85,"Corrupt, Fire","Fits Corrupt, Fire."
T-116,Officer,StatBoosterTitleSO,Boosts ATK by 15%.,ATK,Multiply,1.15,Uncommon,59,"Corrupt, Fire","Fits Corrupt, Fire."
T-117,Senior Treasurer,StatBoosterTitleSO,Boosts ATK by 20%.,ATK,Multiply,1.2,Rare,48,"Fire, Umbral","Fits Fire, Umbral."
T-118,Lead Cook,StatBoosterTitleSO,Boosts ATK by 25%.,ATK,Multiply,1.25,Epic,20,"Clash, Fire","Fits Clash, Fire."
T-119,Plumber,StatBoosterTitleSO,Boosts ATK by 30%.,ATK,Multiply,1.3,Legendary,14,"Clash, Umbral","Fits Clash, Umbral."
T-120,Chief Controller,StatBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,86,"Corrupt, Fire","Fits Corrupt, Fire."
T-121,Safety Engineer,StatBoosterTitleSO,Boosts ATK by 15%.,ATK,Multiply,1.15,Uncommon,66,"Clash, Fire","Fits Clash, Fire."
T-122,Shift Photographer,StatBoosterTitleSO,Boosts ATK by 20%.,ATK,Multiply,1.2,Rare,32,"Fire, Umbral","Fits Fire, Umbral."
T-123,Supply Tailor,StatBoosterTitleSO,Boosts ATK by 25%.,ATK,Multiply,1.25,Epic,28,"Clash, Corrupt","Fits Clash, Corrupt."
T-124,Porter,StatBoosterTitleSO,Boosts ATK by 30%.,ATK,Multiply,1.3,Legendary,6,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-125,Sailor,StatBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,89,"Fire, Umbral","Fits Fire, Umbral."
T-126,Safety Glazier,StatBoosterTitleSO,Boosts ATK by 15%.,ATK,Multiply,1.15,Uncommon,52,"Clash, Umbral","Fits Clash, Umbral."
T-127,Lead Welder,StatBoosterTitleSO,Boosts ATK by 20%.,ATK,Multiply,1.2,Rare,48,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-128,Judge,StatBoosterTitleSO,Boosts ATK by 25%.,ATK,Multiply,1.25,Epic,18,"Fire, Umbral","Fits Fire, Umbral."
T-129,Surgeon,StatBoosterTitleSO,Boosts ATK by 30%.,ATK,Multiply,1.3,Legendary,9,"Clash, Fire","Fits Clash, Fire."
T-130,Chief Carver,StatBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,90,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-131,Broker,StatBoosterTitleSO,Boosts ATK by 15%.,ATK,Multiply,1.15,Uncommon,60,"Clash, Fire","Fits Clash, Fire."
T-132,Steward,StatBoosterTitleSO,Boosts ATK by 20%.,ATK,Multiply,1.2,Rare,44,"Clash, Fire","Fits Clash, Fire."
T-133,Supply Dispatcher,StatBoosterTitleSO,Boosts ATK by 25%.,ATK,Multiply,1.25,Epic,23,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-134,Training Treasurer,StatBoosterTitleSO,Boosts ATK by 30%.,ATK,Multiply,1.3,Legendary,9,"Clash, Corrupt","Fits Clash, Corrupt."
T-135,Resident Steward,StatBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,72,"Clash, Corrupt","Fits Clash, Corrupt."
T-136,Tailor,StatBoosterTitleSO,Boosts ATK by 15%.,ATK,Multiply,1.15,Uncommon,59,"Clash, Corrupt","Fits Clash, Corrupt."
T-137,Janitor,StatBoosterTitleSO,Boosts ATK by 20%.,ATK,Multiply,1.2,Rare,47,"Clash, Umbral","Fits Clash, Umbral."
T-138,Assistant Carver,DualStatBoosterTitleSO,Boosts ATK+DEF by 10%.,ATK+DEF,Multiply,1.1,Common,90,"Clash, Wyrm","Fits Clash, Wyrm."
T-139,Production Judge,DualStatBoosterTitleSO,Boosts ATK+DEF by 15%.,ATK+DEF,Multiply,1.15,Uncommon,67,"Clash, Umbral","Fits Clash, Umbral."
T-140,Bookkeeper,DualStatBoosterTitleSO,Boosts ATK+DEF by 20%.,ATK+DEF,Multiply,1.2,Rare,33,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-141,Senior Receptionist,DualStatBoosterTitleSO,Boosts ATK+DEF by 25%.,ATK+DEF,Multiply,1.25,Epic,16,"Clash, Wyrm","Fits Clash, Wyrm."
T-142,Operations Cashier,DualStatBoosterTitleSO,Boosts ATK+DEF by 30%.,ATK+DEF,Multiply,1.3,Legendary,13,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-143,Shift Accountant,DualStatBoosterTitleSO,Boosts ATK+DEF by 10%.,ATK+DEF,Multiply,1.1,Common,79,"Clash, Corrupt","Fits Clash, Corrupt."
T-144,Training Therapist,DualStatBoosterTitleSO,Boosts ATK+DEF by 15%.,ATK+DEF,Multiply,1.15,Uncommon,60,"Clash, Corrupt","Fits Clash, Corrupt."
T-145,Field Host,DualStatBoosterTitleSO,Boosts ATK+DEF by 20%.,ATK+DEF,Multiply,1.2,Rare,38,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-146,Head Locksmith,DualStatBoosterTitleSO,Boosts ATK+DEF by 25%.,ATK+DEF,Multiply,1.25,Epic,29,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-147,Nurse,DualStatBoosterTitleSO,Boosts ATK+DEF by 30%.,ATK+DEF,Multiply,1.3,Legendary,11,"Clash, Wyrm","Fits Clash, Wyrm."
T-148,Principal Plumber,DualStatBoosterTitleSO,Boosts ATK+DEF by 10%.,ATK+DEF,Multiply,1.1,Common,70,"Clash, Wyrm","Fits Clash, Wyrm."
T-149,Cook,DualStatBoosterTitleSO,Boosts ATK+DEF by 15%.,ATK+DEF,Multiply,1.15,Uncommon,58,"Clash, Corrupt","Fits Clash, Corrupt."
T-150,Treasurer,DualStatBoosterTitleSO,Boosts ATK+DEF by 20%.,ATK+DEF,Multiply,1.2,Rare,44,"Clash, Umbral","Fits Clash, Umbral."
T-151,Blacksmith,DualStatBoosterTitleSO,Boosts ATK+DEF by 25%.,ATK+DEF,Multiply,1.25,Epic,15,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-152,Development Nurse,DualStatBoosterTitleSO,Boosts ATK+DEF by 30%.,ATK+DEF,Multiply,1.3,Legendary,7,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-153,Quality Assembler,DualStatBoosterTitleSO,Boosts ATK+DEF by 10%.,ATK+DEF,Multiply,1.1,Common,88,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-154,Regional Surveyor,ConditionalStatBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,74,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-155,Support Surgeon,ConditionalStatBoosterTitleSO,Boosts ATK by 15%.,ATK,Multiply,1.15,Uncommon,61,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-156,Pilot,ConditionalStatBoosterTitleSO,Boosts ATK by 20%.,ATK,Multiply,1.2,Rare,36,"Clash, Corrupt","Fits Clash, Corrupt."
T-157,Principal Illustrator,ConditionalStatBoosterTitleSO,Boosts ATK by 25%.,ATK,Multiply,1.25,Epic,16,"Clash, Umbral","Fits Clash, Umbral."
T-158,Chemist,ConditionalStatBoosterTitleSO,Boosts ATK by 30%.,ATK,Multiply,1.3,Legendary,11,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-159,Associate Officer,ConditionalStatBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,75,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-160,Head Scientist,ConditionalStatBoosterTitleSO,Boosts ATK by 15%.,ATK,Multiply,1.15,Uncommon,50,"Clash, Corrupt","Fits Clash, Corrupt."
T-161,Editor,ConditionalStatBoosterTitleSO,Boosts ATK by 20%.,ATK,Multiply,1.2,Rare,40,"Clash, Umbral","Fits Clash, Umbral."
T-162,Supply Consultant,ConditionalStatBoosterTitleSO,Boosts ATK by 25%.,ATK,Multiply,1.25,Epic,28,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-163,Driver,ConditionalStatBoosterTitleSO,Boosts ATK by 30%.,ATK,Multiply,1.3,Legendary,7,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-164,Plant Plumber,ConditionalStatBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,71,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-165,Resident Dispatcher,ConditionalStatBoosterTitleSO,Boosts ATK by 15%.,ATK,Multiply,1.15,Uncommon,56,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-166,Quality Pilot,ConditionalStatBoosterTitleSO,Boosts ATK by 20%.,ATK,Multiply,1.2,Rare,39,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-167,Principal Chemist,ConditionalStatBoosterTitleSO,Boosts ATK by 25%.,ATK,Multiply,1.25,Epic,15,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-168,Laboratory Smith,ConditionalStatBoosterTitleSO,Boosts ATK by 30%.,ATK,Multiply,1.3,Legendary,10,"Clash, Wyrm","Fits Clash, Wyrm."
T-169,Development Designer,ConditionalStatBoosterTitleSO,Boosts ATK by 10%.,ATK,Multiply,1.1,Common,78,"Clash, Umbral","Fits Clash, Umbral."
T-170,Smith,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 10%.,ATK+SPD,Multiply,1.1,Common,86,"Clash, Umbral","Fits Clash, Umbral."
T-171,National Commander,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 20%.,ATK+SPD,Multiply,1.2,Uncommon,67,"Clash, Wyrm","Fits Clash, Wyrm."
T-172,Corporate Contractor,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 30%.,ATK+SPD,Multiply,1.3,Rare,33,"Clash, Wyrm","Fits Clash, Wyrm."
T-173,Lead Assembler,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 45%.,ATK+SPD,Multiply,1.45,Epic,24,"Clash, Wyrm","Fits Clash, Wyrm."
T-174,Chief Guard,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 65%.,ATK+SPD,Multiply,1.65,Legendary,6,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-175,Advisor,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 10%.,ATK+SPD,Multiply,1.1,Common,80,"Clash, Umbral","Fits Clash, Umbral."
T-176,National Therapist,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 20%.,ATK+SPD,Multiply,1.2,Uncommon,66,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-177,Operations Dispatcher,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 30%.,ATK+SPD,Multiply,1.3,Rare,48,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-178,Plant Accountant,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 45%.,ATK+SPD,Multiply,1.45,Epic,15,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-179,Supply Barista,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 65%.,ATK+SPD,Multiply,1.65,Legendary,13,"Corrupt, Umbral","Fits Corrupt, Umbral."
T-180,Senior Pilot,ConditionalDualStatBoosterTitleSO,Boosts ATK+SPD by 10%.,ATK+SPD,Multiply,1.1,Common,83,"Clash, Wyrm","Fits Clash, Wyrm."
