id,displayname,description,trigger,goal,useTypeFilter,typeFilter,useResourceFilter,resourceFilter,secretUntilUnlocked,iconAssetPath,category
A-024,Trusted Squad,Mark 5 Bitlings as favorites.,FavoritesCount,5,FALSE,,FALSE,,FALSE,,Profile
A-025,Elite Circle,Mark 10 Bitlings as favorites.,FavoritesCount,10,FALSE,,FALSE,,FALSE,,Profile
A-026,First Evolution,Evolve a Bitling for the first time.,TotalEvolutions,1,FALSE,,FALSE,,FALSE,,Progression
A-027,Adaptive Lineage,Evolve 5 Bitlings.,TotalEvolutions,5,FALSE,,FALSE,,FALSE,,Progression
A-028,Branching Paths,Evolve 15 Bitlings.,TotalEvolutions,15,FALSE,,FALSE,,FALSE,,Progression
A-029,Master Breeder,Evolve 30 Bitlings.,TotalEvolutions,30,FALSE,,FALSE,,TRUE,,Progression
A-030,Rift Contained,Stabilize your first Rift (defeat 1 boss).,BossDefeats,1,FALSE,,FALSE,,FALSE,,Field Ops
A-031,Rift Response Team,Stabilize 3 Rifts (defeat 3 bosses).,BossDefeats,3,FALSE,,FALSE,,FALSE,,Field Ops
A-032,Rift Stabilizer,Stabilize 10 Rifts (defeat 10 bosses).,BossDefeats,10,FALSE,,FALSE,,FALSE,,Field Ops
A-033,Crisis Neutralized,Stabilize 25 Rifts (defeat 25 bosses).,BossDefeats,25,FALSE,,FALSE,,TRUE,,Field Ops
A-034,First Victory,Win 10 battles.,BattleWins,10,FALSE,,FALSE,,FALSE,,Combat
A-035,Veteran Handler,Win 50 battles.,BattleWins,50,FALSE,,FALSE,,FALSE,,Combat
A-036,Combat Operator,Win 200 battles.,BattleWins,200,FALSE,,FALSE,,FALSE,,Combat
A-037,Elite Combatant,Win 500 battles.,BattleWins,500,FALSE,,FALSE,,TRUE,,Combat
A-038,Flawless,Win a battle without taking damage.,PerfectBattles,1,FALSE,,FALSE,,TRUE,,Combat
A-039,Untouchable,Win 5 battles without taking damage.,PerfectBattles,5,FALSE,,FALSE,,TRUE,,Combat
A-040,No Notes,Win 20 battles without taking damage.,PerfectBattles,20,FALSE,,FALSE,,TRUE,,Combat
A-041,Momentum,Reach a win streak of 3.,WinStreakMax,3,FALSE,,FALSE,,FALSE,,Combat
A-042,On a Roll,Reach a win streak of 10.,WinStreakMax,10,FALSE,,FALSE,,FALSE,,Combat
A-043,Unbroken,Reach a win streak of 25.,WinStreakMax,25,FALSE,,FALSE,,TRUE,,Combat
A-044,Legendary Run,Reach a win streak of 50.,WinStreakMax,50,FALSE,,FALSE,,TRUE,,Combat
A-045,Paid in Full,"Earn 10,000 Credits.",CreditsEarned,10000,FALSE,,TRUE,Credits,FALSE,,Economy
A-046,High Roller,"Earn 100,000 Credits.",CreditsEarned,100000,FALSE,,TRUE,Credits,FALSE,,Economy
A-047,BRN Budget Surplus,"Earn 1,000,000 Credits.",CreditsEarned,1000000,FALSE,,TRUE,Credits,TRUE,,Economy
A-048,Shift Complete,Complete 10 idle batches.,IdleBatchesCompleted,10,FALSE,,FALSE,,FALSE,,Operations
A-049,Night Shift,Complete 50 idle batches.,IdleBatchesCompleted,50,FALSE,,FALSE,,FALSE,,Operations
A-050,Continuous Operations,Complete 200 idle batches.,IdleBatchesCompleted,200,FALSE,,FALSE,,TRUE,,Operations
A-051,First Assignment,Assign your first Bitling to a job.,JobsAssigned,1,FALSE,,FALSE,,FALSE,,Operations
A-052,Cross-Trained,Assign 25 total jobs.,JobsAssigned,25,FALSE,,FALSE,,FALSE,,Operations
A-053,Operations Lead,Assign 100 total jobs.,JobsAssigned,100,FALSE,,FALSE,,TRUE,,Operations
A-054,Resource Pipeline,Produce 500 Materials.,ResourcesEarned,500,FALSE,,TRUE,Material,FALSE,,Economy
A-055,Field Medic,Collect 100 Medkits.,ResourcesEarned,100,FALSE,,TRUE,Medkit,FALSE,,Economy
A-056,Caffeine Budget,Collect 250 Coffee.,ResourcesEarned,250,FALSE,,TRUE,Coffee,FALSE,,Economy
A-057,Growth Initiative,Collect 50 Growth Cores.,ResourcesEarned,50,FALSE,,TRUE,GrowthCore,FALSE,,Economy
A-058,Permit Holder,Collect 25 PPE Permits.,ResourcesEarned,25,FALSE,,TRUE,PPEPermit,FALSE,,Economy
A-059,Voucher Stack,Collect 25 Training Vouchers.,ResourcesEarned,25,FALSE,,TRUE,TrainingVoucher,FALSE,,Economy
A-060,Wellness Program,Collect 25 Wellness Vouchers.,ResourcesEarned,25,FALSE,,TRUE,WellnessVoucher,FALSE,,Economy
A-061,Efficiency Audit,Collect 25 Efficiency Vouchers.,ResourcesEarned,25,FALSE,,TRUE,EfficiencyVoucher,FALSE,,Economy
A-062,Orb Intake,Collect 50 Shiny Orbs.,ResourcesEarned,50,FALSE,,TRUE,ShinyOrb,TRUE,,Economy
A-063,Scale Ledger,Collect 50 Blessing Scales.,ResourcesEarned,50,FALSE,,TRUE,BlessingScale,TRUE,,Economy
A-064,Flyer Run,Collect 100 Flyers.,ResourcesEarned,100,FALSE,,TRUE,Flyer,FALSE,,Economy
A-065,Work Order Queue,Collect 100 Work Orders.,ResourcesEarned,100,FALSE,,TRUE,WorkOrder,FALSE,,Economy
A-066,Networked,Collect 100 Favors.,ResourcesEarned,100,FALSE,,TRUE,Favor,FALSE,,Economy
A-067,Pack Stockpile,Collect 25 Pack Vouchers.,ResourcesEarned,25,FALSE,,TRUE,PackVoucher,FALSE,,Economy
A-068,Pressure Tested,Win 1 battle with type advantage.,BattleWinsWithTypeAdvantage,1,FALSE,,FALSE,,FALSE,,Combat
A-069,Tactical Edge,Win 25 battles with type advantage.,BattleWinsWithTypeAdvantage,25,FALSE,,FALSE,,FALSE,,Combat
A-070,Counterplay,Win 1 battle with type disadvantage.,BattleWinsWithTypeDisadvantage,1,FALSE,,FALSE,,TRUE,,Combat
A-071,Underdog Handler,Win 10 battles with type disadvantage.,BattleWinsWithTypeDisadvantage,10,FALSE,,FALSE,,TRUE,,Combat
A-072,Critical Mark,Land 50 critical hits.,CriticalHits,50,FALSE,,FALSE,,FALSE,,Combat
A-073,Sharp Operator,Land 250 critical hits.,CriticalHits,250,FALSE,,FALSE,,FALSE,,Combat
A-074,Overkill Protocol,Land 1000 critical hits.,CriticalHits,1000,FALSE,,FALSE,,TRUE,,Combat
A-075,Status Applied,Inflict 25 status effects.,StatusesApplied,25,FALSE,,FALSE,,FALSE,,Combat
A-076,Status Supervisor,Inflict 100 status effects.,StatusesApplied,100,FALSE,,FALSE,,FALSE,,Combat
A-077,Freeze Order,Inflict Freeze 25 times.,StatusesAppliedByType,25,TRUE,Ice,FALSE,,FALSE,,Combat
A-078,Burn Notice,Inflict Burn 25 times.,StatusesAppliedByType,25,TRUE,Fire,FALSE,,FALSE,,Combat
A-079,Shock Report,Inflict Shock 25 times.,StatusesAppliedByType,25,TRUE,Electric,FALSE,,FALSE,,Combat
A-080,No Backup,Win 5 solo battles with one Bitling.,SoloBattleWins,5,FALSE,,FALSE,,TRUE,,Combat
A-081,Title Assigned,Equip your first Title.,TitlesEquipped,1,FALSE,,FALSE,,FALSE,,Titles
A-082,Decorated Team,Equip Titles on 3 Bitlings at once.,TitlesEquippedSimultaneous,3,FALSE,,FALSE,,FALSE,,Titles
A-083,Career Identity,Equip 10 total Titles.,TitlesEquipped,10,FALSE,,FALSE,,FALSE,,Titles
A-084,Full Dossier,Register 25 total Titles.,TitlesUnlocked,25,FALSE,,FALSE,,FALSE,,Titles
A-085,Title Archive,Register 100 total Titles.,TitlesUnlocked,100,FALSE,,FALSE,,TRUE,,Titles
A-086,Promotion Track,Reach Player Rank 5.,PlayerRank,5,FALSE,,FALSE,,FALSE,,Progression
A-087,Regional Lead,Reach Player Rank 10.,PlayerRank,10,FALSE,,FALSE,,FALSE,,Progression
A-088,Iron Candidate,Reach Player Rank 20.,PlayerRank,20,FALSE,,FALSE,,FALSE,,Progression
A-089,Agency Veteran,Reach Player Rank 30.,PlayerRank,30,FALSE,,FALSE,,TRUE,,Progression
A-090,First Iron Run,Start Executive Trial for the first time.,IronRunsStarted,1,FALSE,,FALSE,,FALSE,,Executive Trial
A-091,Iron Survivor,Win 5 Executive Trial battles.,IronBattleWins,5,FALSE,,FALSE,,TRUE,,Executive Trial
A-092,Iron Record,Win 25 Executive Trial battles.,IronBattleWins,25,FALSE,,FALSE,,TRUE,,Executive Trial
A-093,No Return,Complete an Iron run.,IronRunsCompleted,1,FALSE,,FALSE,,TRUE,,Executive Trial
A-094,Perfect Containment,Complete an Iron run with no deaths.,IronPerfectRuns,1,FALSE,,FALSE,,TRUE,,Executive Trial
A-095,Quiet Professional,Watch 10 full battles without using skip.,BattlesWatched,10,FALSE,,FALSE,,FALSE,,Profile
A-096,Public Profile,Open the Codex 25 times.,CodexOpened,25,FALSE,,FALSE,,FALSE,,Profile
A-097,Archivist,Open the Codex 100 times.,CodexOpened,100,FALSE,,FALSE,,FALSE,,Profile
A-098,Secret Finder,Unlock 5 secret achievements.,SecretAchievementsUnlocked,5,FALSE,,FALSE,,TRUE,,Discovery
A-099,Deep Archive,Unlock 15 secret achievements.,SecretAchievementsUnlocked,15,FALSE,,FALSE,,TRUE,,Discovery
A-100,Complete Record,Unlock 100 achievements.,AchievementsUnlocked,100,FALSE,,FALSE,,TRUE,,Progression
