ID,Name,Type,Rarity,Max Level,Can Be Starter,Starter Weight,Boss Weight,Evolution Stage,Title 1,Title 1 Unlock Amount,Title 2,Title 2 Unlock Amount,Title 3,Title 3 Unlock Amount,Title 4,Title 4 Unlock Amount,Title 5,Title 5 Unlock Amount,Evolution Form Id,Base HP,Base Attack,Base Defense,Base Speed,Spawn Weight,Job Skill,Hp Regen Per Hour,Fatigue Rate Per Hour,Fatigue Cooldown Hours,Personality,Basic Attack Name,Basic Attack Prefab Lifetime,Icon Path,Back Icon Path,Shiny Icon Path,Shiny Back Icon Path,Description
M-011,Riplo,Water,Common,50,Yes,10,0,1,T-210,3,T-205,10,N/A,N/A,N/A,N/A,N/A,N/A,M-012,56,42,32,20,8,0.95,6.2,7.7,8.2,Reactive,Wave Nip,Water,Assets/Art/Monsters/Water/Common/Riplo_front.png,Assets/Art/Monsters/Water/Common/Riplo_back.png,Assets/Art/Monsters/Water/Common/Riplo_frontshiny.png,Assets/Art/Monsters/Water/Common/Riplo_backshiny.png,A small aquatic crawler that snaps with watery bites and reacts quickly to threats.
M-012,Riplon,Water,Uncommon,50,Yes,2,0,2,T-300,2,T-333,10,T-139,14,N/A,N/A,N/A,N/A,M-013,64,48,36,22,4.5,1,7,7.7,8.2,Reactive,Current Bash,Water,Assets/Art/Monsters/Water/Uncommon/Riplon_front.png,Assets/Art/Monsters/Water/Uncommon/Riplon_back.png,Assets/Art/Monsters/Water/Uncommon/Riplon_frontshiny.png,Assets/Art/Monsters/Water/Uncommon/Riplon_backshiny.png,"Its body hardens with flowing armor, striking back harder as battles drag on."
M-013,Tideron,Water,Rare,50,No,0,0,3,T-226,2,T-207,6,T-222,10,T-386,14,N/A,N/A,,72,56,42,30,2,1.08,7.9,7.7,8.2,Equalizer,Surge Slam,Water,Assets/Art/Monsters/Water/Rare/Tideron_front.png,Assets/Art/Monsters/Water/Rare/Tideron_back.png,Assets/Art/Monsters/Water/Rare/Tideron_frontshiny.png,Assets/Art/Monsters/Water/Rare/Tideron_backshiny.png,"A powerful water beast that balances offense and defense, crashing into foes with tidal force."
M-014,Maril,Water,Rare,50,No,0,0,1,T-380,2,T-145,6,T-212,10,T-217,14,N/A,N/A,,70,54,46,30,2,1.08,8.5,7.7,8.2,Tactical,Aqua Bind,Water,Assets/Art/Monsters/Water/Rare/Maril_front.png,Assets/Art/Monsters/Water/Rare/Maril_back.png,Assets/Art/Monsters/Water/Rare/Maril_frontshiny.png,Assets/Art/Monsters/Water/Rare/Maril_backshiny.png,A calm but calculating water dweller that restrains foes with coiling currents before striking decisively.
M-015,Torrin,Water,Epic,50,No,0,0,1,T-223,1,T-362,4,T-208,8,T-213,12,T-173,15,,92,64,72,27,0.7,1.15,10.1,7.2,8.9,Defensive,Crush Tide,Water,Assets/Art/Monsters/Water/Epic/Torrin_front.png,Assets/Art/Monsters/Water/Epic/Torrin_back.png,Assets/Art/Monsters/Water/Epic/Torrin_frontshiny.png,Assets/Art/Monsters/Water/Epic/Torrin_backshiny.png,A massive aquatic guardian that absorbs punishment and retaliates with crushing waves of condensed water.
M-016,Zapel,Electric,Common,50,Yes,10,0,1,T-187,3,T-239,10,N/A,N/A,N/A,N/A,N/A,N/A,M-017,46,50,20,34,8,0.95,4.6,10.5,7.6,Evasive,Spark Jab,Electric,Assets/Art/Monsters/Electric/Common/Zapel_front.png,Assets/Art/Monsters/Electric/Common/Zapel_back.png,Assets/Art/Monsters/Electric/Common/Zapel_frontshiny.png,Assets/Art/Monsters/Electric/Common/Zapel_backshiny.png,A jittery electric critter that darts forward to shock foes before they can react.
M-017,Zaprix,Electric,Uncommon,50,Yes,2,0,2,T-171,2,T-176,10,T-301,14,N/A,N/A,N/A,N/A,,52,60,24,34,4.5,1,5.2,10.5,7.6,Evasive,Volt Slice,Electric,Assets/Art/Monsters/Electric/Uncommon/Zaprix_front.png,Assets/Art/Monsters/Electric/Uncommon/Zaprix_back.png,Assets/Art/Monsters/Electric/Uncommon/Zaprix_frontshiny.png,Assets/Art/Monsters/Electric/Uncommon/Zaprix_backshiny.png,"Its body crackles with stable current, moving faster and striking harder with precise electric cuts."
M-018,Voltek,Electric,Rare,50,No,0,0,1,T-329,2,T-022,6,T-231,10,T-140,14,N/A,N/A,,66,62,38,34,2,1.08,6.6,10.5,7.6,Relentless,Arc Smash,Electric,Assets/Art/Monsters/Electric/Rare/Voltek_front.png,Assets/Art/Monsters/Electric/Rare/Voltek_back.png,Assets/Art/Monsters/Electric/Rare/Voltek_frontshiny.png,Assets/Art/Monsters/Electric/Rare/Voltek_backshiny.png,"A compact electric enforcer that channels stored charge into repeated, driving strikes without slowing down."
M-019,Strikon,Electric,Epic,50,No,0,0,1,T-195,1,T-232,4,T-072,8,T-162,12,T-167,15,,78,92,44,33,0.7,1.15,7.8,11,7.2,Executioner,Thunder Cleave,Electric,Assets/Art/Monsters/Electric/Epic/Strikon_front.png,Assets/Art/Monsters/Electric/Epic/Strikon_back.png,Assets/Art/Monsters/Electric/Epic/Strikon_frontshiny.png,Assets/Art/Monsters/Electric/Epic/Strikon_backshiny.png,"An elite electric predator that waits for the perfect moment before unleashing devastating, high-voltage strikes."
M-020,Glasir,Ice,Common,50,Yes,10,0,1,T-180,3,T-384,10,N/A,N/A,N/A,N/A,N/A,N/A,,58,36,40,16,8,0.95,6.1,9.5,9.2,Patient,Frost Peck,Ice,Assets/Art/Monsters/Ice/Common/Glasir_front.png,Assets/Art/Monsters/Ice/Common/Glasir_back.png,Assets/Art/Monsters/Ice/Common/Glasir_frontshiny.png,Assets/Art/Monsters/Ice/Common/Glasir_backshiny.png,A cautious ice dweller that hardens its body against attacks while chipping away at foes with chilling strikes.
M-021,Frozel,Ice,Uncommon,50,Yes,2,0,1,T-334,2,T-325,10,T-235,14,N/A,N/A,N/A,N/A,M-022,64,42,48,16,4.5,1,6.7,9,9.9,Defensive,Frost Jab,Ice,Assets/Art/Monsters/Ice/Uncommon/Frozel_front.png,Assets/Art/Monsters/Ice/Uncommon/Frozel_back.png,Assets/Art/Monsters/Ice/Uncommon/Frozel_frontshiny.png,Assets/Art/Monsters/Ice/Uncommon/Frozel_backshiny.png,A compact ice creature that braces itself behind thick frost plating while striking cautiously.
M-022,Frosen,Ice,Rare,50,No,0,0,2,T-082,2,T-172,6,T-241,10,T-014,14,N/A,N/A,,72,48,56,24,2,1.08,7.6,9,9.9,Sentinel,Glacier Slam,Ice,Assets/Art/Monsters/Ice/Rare/Frosen_front.png,Assets/Art/Monsters/Ice/Rare/Frosen_back.png,Assets/Art/Monsters/Ice/Rare/Frosen_frontshiny.png,Assets/Art/Monsters/Ice/Rare/Frosen_backshiny.png,"A hardened frost guardian that stands firm and retaliates with crushing, cold-laden blows."
M-023,Crystir,Ice,Epic,50,No,0,0,1,T-381,1,T-058,4,T-088,8,T-242,12,T-141,15,,96,58,84,21,0.7,1.15,10,9,10.4,Fortress,Crystal Break,Ice,Assets/Art/Monsters/Ice/Epic/Crystir_front.png,Assets/Art/Monsters/Ice/Epic/Crystir_back.png,Assets/Art/Monsters/Ice/Epic/Crystir_frontshiny.png,Assets/Art/Monsters/Ice/Epic/Crystir_backshiny.png,"A towering ice colossus formed of dense crystal plates, advancing slowly while shattering foes with overwhelming frozen force."
M-024,Burrel,Ground,Common,50,Yes,10,0,1,T-364,3,T-018,10,N/A,N/A,N/A,N/A,N/A,N/A,,60,36,38,16,8,0.95,6.6,8.5,7.9,Defensive,Stone Nudge,Ground,Assets/Art/Monsters/Ground/Common/Burrel_front.png,Assets/Art/Monsters/Ground/Common/Burrel_back.png,Assets/Art/Monsters/Ground/Common/Burrel_frontshiny.png,Assets/Art/Monsters/Ground/Common/Burrel_backshiny.png,"A squat ground dweller that braces itself in the soil, resisting blows while slowly wearing enemies down with heavy, earthen strikes."
M-025,Digel,Ground,Common,50,Yes,10,0,1,T-175,3,T-006,10,N/A,N/A,N/A,N/A,N/A,N/A,M-026,54,44,30,22,8,0.95,6,8.1,8.6,Reactive,Dust Peck,Ground,Assets/Art/Monsters/Ground/Common/Digel_front.png,Assets/Art/Monsters/Ground/Common/Digel_back.png,Assets/Art/Monsters/Ground/Common/Digel_frontshiny.png,Assets/Art/Monsters/Ground/Common/Digel_backshiny.png,A small burrowing critter that pops from the soil to strike before retreating underground.
M-026,Dorrel,Ground,Uncommon,50,Yes,2,0,2,T-060,2,T-327,10,T-240,14,N/A,N/A,N/A,N/A,M-027,62,50,34,24,4.5,1,6.9,8.1,8.6,Reactive,Earth Jab,Ground,Assets/Art/Monsters/Ground/Uncommon/Dorrel_front.png,Assets/Art/Monsters/Ground/Uncommon/Dorrel_back.png,Assets/Art/Monsters/Ground/Uncommon/Dorrel_frontshiny.png,Assets/Art/Monsters/Ground/Uncommon/Dorrel_backshiny.png,Its hardened claws and thicker hide allow it to punish attackers that get too close.
M-027,Gravorn,Ground,Rare,50,No,0,0,3,T-070,2,T-144,6,T-160,10,T-165,14,N/A,N/A,,70,56,44,30,2,1.08,7.7,8.1,8.6,Sentinel,Crush Tecton,Ground,Assets/Art/Monsters/Ground/Rare/Gravorn_front.png,Assets/Art/Monsters/Ground/Rare/Gravorn_back.png,Assets/Art/Monsters/Ground/Rare/Gravorn_frontshiny.png,Assets/Art/Monsters/Ground/Rare/Gravorn_backshiny.png,"A dominant ground beast that anchors itself firmly, striking back with crushing, tectonic force."
M-028,Stonel,Rock,Common,50,Yes,10,0,1,T-224,3,T-328,10,N/A,N/A,N/A,N/A,N/A,N/A,,62,30,44,14,8,0.95,6.1,8.1,9.5,Defensive,Rock Tap,Rock,Assets/Art/Monsters/Rock/Common/Stonel_front.png,Assets/Art/Monsters/Rock/Common/Stonel_back.png,Assets/Art/Monsters/Rock/Common/Stonel_frontshiny.png,Assets/Art/Monsters/Rock/Common/Stonel_backshiny.png,"A small rock-bodied creature that braces in place and slowly chips away at foes with steady, grinding blows."
M-029,Gravel,Rock,Uncommon,50,Yes,2,0,1,T-010,2,T-206,10,T-211,14,N/A,N/A,N/A,N/A,M-030,68,38,52,14,4.5,1,6.8,8.1,9.5,Stoic,Stone Bash,Rock,Assets/Art/Monsters/Rock/Uncommon/Gravel_front.png,Assets/Art/Monsters/Rock/Uncommon/Gravel_back.png,Assets/Art/Monsters/Rock/Uncommon/Gravel_frontshiny.png,Assets/Art/Monsters/Rock/Uncommon/Gravel_backshiny.png,"A compact rock beast that absorbs blows with layered stone and retaliates with heavy, deliberate strikes."
M-030,Granor,Rock,Rare,50,No,0,0,2,T-189,2,T-221,6,T-002,10,T-181,14,N/A,N/A,,80,44,66,20,2,1.08,7.6,8.1,9.5,Fortress,Ruin Slam,Rock,Assets/Art/Monsters/Rock/Rare/Granor_front.png,Assets/Art/Monsters/Rock/Rare/Granor_back.png,Assets/Art/Monsters/Rock/Rare/Granor_frontshiny.png,Assets/Art/Monsters/Rock/Rare/Granor_backshiny.png,"A hulking stone guardian that stands immovable, crushing enemies beneath overwhelming rocky force."
M-031,Magorn,Rock,Epic,50,No,0,0,1,T-357,1,T-218,4,T-227,8,T-185,12,T-151,15,,98,60,86,21,0.7,1.15,8.8,8.1,10.8,Guardian,Molten Crush,Rock,Assets/Art/Monsters/Rock/Epic/Magorn_front.png,Assets/Art/Monsters/Rock/Epic/Magorn_back.png,Assets/Art/Monsters/Rock/Epic/Magorn_frontshiny.png,Assets/Art/Monsters/Rock/Epic/Magorn_backshiny.png,"A massive rock brute infused with lingering heat, advancing steadily while smashing foes with crushing, lava-hot stone."
M-032,Skipel,Bug,Common,50,Yes,10,0,1,T-229,3,T-143,10,N/A,N/A,N/A,N/A,N/A,N/A,,44,46,22,38,8,0.95,4.6,7.2,7.9,Evasive,Wing Jab,Bug,Assets/Art/Monsters/Bug/Common/Skipel_front.png,Assets/Art/Monsters/Bug/Common/Skipel_back.png,Assets/Art/Monsters/Bug/Common/Skipel_frontshiny.png,Assets/Art/Monsters/Bug/Common/Skipel_backshiny.png,"A quick-winged bug that darts erratically through the air, striking fast before slipping out of reach."
M-033,Nibrel,Bug,Uncommon,50,Yes,2,0,1,T-183,2,T-390,10,T-149,14,N/A,N/A,N/A,N/A,M-034,48,52,26,34,4.5,1,5,7.2,7.9,Trickster,Pincer Pop,Bug,Assets/Art/Monsters/Bug/Uncommon/Nibrel_front.png,Assets/Art/Monsters/Bug/Uncommon/Nibrel_back.png,Assets/Art/Monsters/Bug/Uncommon/Nibrel_frontshiny.png,Assets/Art/Monsters/Bug/Uncommon/Nibrel_backshiny.png,"A jittery bug that bounces unpredictably, snapping at foes with quick pincers before they can react."
M-034,Pinorn,Bug,Rare,50,No,0,0,2,T-199,2,T-086,6,T-230,10,T-385,14,N/A,N/A,,56,62,30,38,2,1.08,5.6,7.2,7.9,Pouncer,Crush Pincer,Bug,Assets/Art/Monsters/Bug/Rare/Pinorn_front.png,Assets/Art/Monsters/Bug/Rare/Pinorn_back.png,Assets/Art/Monsters/Bug/Rare/Pinorn_frontshiny.png,Assets/Art/Monsters/Bug/Rare/Pinorn_backshiny.png,"A sharp-eyed insect hunter that lunges suddenly, crushing enemies with powerful, well-timed pincer strikes."
M-035,Aurel,Sky,Common,50,Yes,10,0,1,T-389,3,T-005,10,N/A,N/A,N/A,N/A,N/A,N/A,,44,48,22,36,8,0.95,4.8,9.5,7.1,Evasive,Gale Peck,Sky,Assets/Art/Monsters/Sky/Common/Aurel_front.png,Assets/Art/Monsters/Sky/Common/Aurel_back.png,Assets/Art/Monsters/Sky/Common/Aurel_frontshiny.png,Assets/Art/Monsters/Sky/Common/Aurel_backshiny.png,A nimble sky flier that swoops in with sharp pecks before darting away on swift wings.
M-036,Fearel,Sky,Uncommon,50,Yes,2,0,1,T-013,2,T-203,10,T-062,14,N/A,N/A,N/A,N/A,M-037,48,52,26,38,4.5,1,5.2,9.5,7.1,Evasive,Air Jab,Sky,Assets/Art/Monsters/Sky/Uncommon/Fearel_front.png,Assets/Art/Monsters/Sky/Uncommon/Fearel_back.png,Assets/Art/Monsters/Sky/Uncommon/Fearel_frontshiny.png,Assets/Art/Monsters/Sky/Uncommon/Fearel_backshiny.png,"A sharp-eyed sky hunter that darts between air currents, striking swiftly before retreating upward."
M-037,Skiron,Sky,Rare,50,No,0,0,2,T-340,2,T-307,6,T-063,10,T-308,14,N/A,N/A,,56,62,30,42,2,1.08,5.8,9.5,7.1,Opportunist,Sky Rend,Sky,Assets/Art/Monsters/Sky/Rare/Skiron_front.png,Assets/Art/Monsters/Sky/Rare/Skiron_back.png,Assets/Art/Monsters/Sky/Rare/Skiron_frontshiny.png,Assets/Art/Monsters/Sky/Rare/Skiron_backshiny.png,"A seasoned aerial predator that exploits openings from above, tearing through foes with precise, wind-driven strikes."
M-038,Tekon,Alloy,Common,50,Yes,10,0,1,T-332,3,T-007,10,N/A,N/A,N/A,N/A,N/A,N/A,,52,46,36,16,8,0.95,4.9,8,11.4,Tactical,Metal Jab,Alloy,Assets/Art/Monsters/Alloy/Common/Tekon_front.png,Assets/Art/Monsters/Alloy/Common/Tekon_back.png,Assets/Art/Monsters/Alloy/Common/Tekon_frontshiny.png,Assets/Art/Monsters/Alloy/Common/Tekon_backshiny.png,"A small alloy construct that moves with careful precision, striking steadily while its reinforced body absorbs incoming blows."
M-039,Coretek,Alloy,Epic,50,No,0,0,1,T-178,1,T-225,4,T-193,8,T-054,12,T-234,15,,88,66,78,23,0.7,1.15,8.4,6.4,11.4,Sentinel,Gear Crush,Alloy,Assets/Art/Monsters/Alloy/Epic/Coretek_front.png,Assets/Art/Monsters/Alloy/Epic/Coretek_back.png,Assets/Art/Monsters/Alloy/Epic/Coretek_frontshiny.png,Assets/Art/Monsters/Alloy/Epic/Coretek_backshiny.png,"A rotating alloy sentinel that locks into position, grinding enemies down with precise mechanical force and reinforced plating."
M-040,Ironyx,Alloy,Mythic,50,No,0,0,1,T-043,2,T-293,5,T-057,8,T-048,12,T-142,15,,120,78,92,30,0.05,1.3,10.8,6.4,12.6,Fortress,Anvil Break,Alloy,Assets/Art/Monsters/Alloy/Mythic/Ironyx_front.png,Assets/Art/Monsters/Alloy/Mythic/Ironyx_back.png,Assets/Art/Monsters/Alloy/Mythic/Ironyx_frontshiny.png,Assets/Art/Monsters/Alloy/Mythic/Ironyx_backshiny.png,"A legendary alloy juggernaut forged around a living core, advancing relentlessly as its reinforced frame shrugs off all but the most powerful attacks."
M-041,Wispel,Specter,Common,50,Yes,10,0,1,T-220,3,T-215,10,N/A,N/A,N/A,N/A,N/A,N/A,,48,44,28,30,8,0.95,6.9,9.5,8.8,Phantom,Veil Touch,Specter,Assets/Art/Monsters/Specter/Common/Wispel_front.png,Assets/Art/Monsters/Specter/Common/Wispel_back.png,Assets/Art/Monsters/Specter/Common/Wispel_frontshiny.png,Assets/Art/Monsters/Specter/Common/Wispel_backshiny.png,"A faint specter that flickers in and out of view, slipping through attacks while draining foes with chilling, ghostly strikes."
M-042,Graveil,Specter,Epic,50,No,0,0,1,T-216,1,T-315,4,T-017,8,T-148,12,T-159,15,,82,74,44,35,0.7,1.15,9.4,9.9,9.7,Phantom,Veil Rend,Specter,Assets/Art/Monsters/Specter/Epic/Graveil_front.png,Assets/Art/Monsters/Specter/Epic/Graveil_back.png,Assets/Art/Monsters/Specter/Epic/Graveil_frontshiny.png,Assets/Art/Monsters/Specter/Epic/Graveil_backshiny.png,"An elite specter that slips between moments, striking from shadowed angles before fading back into the veil."
M-043,Shadeveil,Specter,Legendary,50,No,0,0,1,T-352,2,T-179,5,T-209,8,T-214,12,T-388,15,,94,82,56,38,0.25,1.22,10.8,10,10.9,Phantom,Umbral Pierce,Specter,Assets/Art/Monsters/Specter/Legendary/Shadeveil_front.png,Assets/Art/Monsters/Specter/Legendary/Shadeveil_back.png,Assets/Art/Monsters/Specter/Legendary/Shadeveil_frontshiny.png,Assets/Art/Monsters/Specter/Legendary/Shadeveil_backshiny.png,"A legendary specter that weaves between reality and shadow, striking with silent precision before dissolving back into the veil."
M-044,Umrel,Umbral,Common,50,Yes,10,0,1,T-130,3,T-003,10,N/A,N/A,N/A,N/A,N/A,N/A,,54,46,30,20,8,0.95,6.2,11,8.3,Reactive,Shadow Jab,Umbral,Assets/Art/Monsters/Umbral/Common/Umrel_front.png,Assets/Art/Monsters/Umbral/Common/Umrel_back.png,Assets/Art/Monsters/Umbral/Common/Umrel_frontshiny.png,Assets/Art/Monsters/Umbral/Common/Umrel_backshiny.png,"A small umbral creature that lashes out from darkened corners, retreating quickly as shadows close around it."
M-045,Dreadnyx,Umbral,Epic,50,No,0,0,1,T-353,1,T-338,4,T-133,8,T-033,12,T-128,15,M-046,78,84,40,33,0.7,1.15,9,11,8.7,Opportunist,Night Rend,Umbral,Assets/Art/Monsters/Umbral/Epic/Dreadnyx_front.png,Assets/Art/Monsters/Umbral/Epic/Dreadnyx_back.png,Assets/Art/Monsters/Umbral/Epic/Dreadnyx_frontshiny.png,Assets/Art/Monsters/Umbral/Epic/Dreadnyx_backshiny.png,"An umbral hunter that exploits openings from the dark, striking hard before melting back into shadow."
M-046,Dreadveil,Umbral,Legendary,50,No,0,0,2,T-310,2,T-311,5,T-119,8,T-147,12,T-238,15,,90,96,48,36,0.25,1.22,10.4,11,9.6,Phantom,Veil Reap,Umbral,Assets/Art/Monsters/Umbral/Legendary/Dreadveil_front.png,Assets/Art/Monsters/Umbral/Legendary/Dreadveil_back.png,Assets/Art/Monsters/Umbral/Legendary/Dreadveil_frontshiny.png,Assets/Art/Monsters/Umbral/Legendary/Dreadveil_backshiny.png,"A legendary shadow entity that phases through the veil itself, reappearing to deliver devastating, silent blows."
M-047,Wyrrel,Wyrm,Common,50,Yes,10,0,1,T-192,3,T-030,10,N/A,N/A,N/A,N/A,N/A,N/A,M-048,52,50,26,22,8,0.95,5.2,9,8.8,Chaotic,Flare Snap,Wyrm,Assets/Art/Monsters/Wyrm/Common/Wyrrel_front.png,Assets/Art/Monsters/Wyrm/Common/Wyrrel_back.png,Assets/Art/Monsters/Wyrm/Common/Wyrrel_frontshiny.png,Assets/Art/Monsters/Wyrm/Common/Wyrrel_backshiny.png,"A young wyrm that lunges wildly, scorching everything around it as it struggles to control its power."
M-048,Wyrrax,Wyrm,Uncommon,50,Yes,2,0,2,T-188,2,T-031,10,T-164,14,N/A,N/A,N/A,N/A,,60,60,30,26,4.5,1,5.9,9,8.8,Wildling,Inferno Dive,Wyrm,Assets/Art/Monsters/Wyrm/Uncommon/Wyrrax_front.png,Assets/Art/Monsters/Wyrm/Uncommon/Wyrrax_back.png,Assets/Art/Monsters/Wyrm/Uncommon/Wyrrax_frontshiny.png,Assets/Art/Monsters/Wyrm/Uncommon/Wyrrax_backshiny.png,"A more developed wyrm that crashes into enemies from above, trading its own safety for explosive damage."
M-049,Drakon,Wyrm,Epic,50,No,0,0,1,T-200,1,T-367,4,T-023,8,T-337,12,T-032,15,,88,98,36,33,0.7,1.15,6.9,9.5,9.2,Berserker,Sky Rend,Wyrm,Assets/Art/Monsters/Wyrm/Epic/Drakon_front.png,Assets/Art/Monsters/Wyrm/Epic/Drakon_back.png,Assets/Art/Monsters/Wyrm/Epic/Drakon_frontshiny.png,Assets/Art/Monsters/Wyrm/Epic/Drakon_backshiny.png,"A fearsome wyrm that tears through enemies with savage aerial assaults, favoring overwhelming offense over self-preservation."
M-050,Pyraxis,Wyrm,Legendary,50,No,0,0,1,T-313,2,T-309,5,T-034,8,T-073,12,T-089,15,,102,112,44,36,0.25,1.22,7.6,9.5,9.9,Executioner,Cataclysm Bite,Wyrm,Assets/Art/Monsters/Wyrm/Legendary/Pyraxis_front.png,Assets/Art/Monsters/Wyrm/Legendary/Pyraxis_back.png,Assets/Art/Monsters/Wyrm/Legendary/Pyraxis_frontshiny.png,Assets/Art/Monsters/Wyrm/Legendary/Pyraxis_backshiny.png,"A legendary wyrm whose focused, devastating strikes leave scorched ruin in their wake, ending battles in brutal, decisive blows."
